Run,Result
Run 118 Recall-> 97.87%,Time-> 1.05 minutes
Run 119 Recall-> 98.03%,Time-> 1.03 minutes
Run 120 Recall-> 98.24%,Time-> 1.03 minutes
Run 121 Recall-> 98.17%,Time-> 1.03 minutes
Run 122 Recall-> 97.85%,Time-> 1.07 minutes
Run 123 Recall-> 97.93%,Time-> 1.05 minutes
Run 124 Recall-> 97.98%,Time-> 1.03 minutes
Run 125 Recall-> 98.12%,Time-> 1.05 minutes
Run 126 Recall-> 97.97%,Time-> 1.03 minutes
Run 127 Missing Data,Missing Data
Run 128 Recall-> 98.06%,Time-> 1.05 minutes
Run 129 Recall-> 98.22%,Time-> 1.00 minutes
Run 130 Recall-> 97.96%,Time-> 1.05 minutes
Run 131 Recall-> 97.97%,Time-> 1.02 minutes
Run 132 Recall-> 97.90%,Time-> 1.08 minutes
Run 133 Recall-> 97.96%,Time-> 1.07 minutes
Run 134 Recall-> 98.06%,Time-> 1.03 minutes
Run 135 Recall-> 97.86%,Time-> 1.08 minutes
Run 136 Recall-> 97.96%,Time-> 1.05 minutes
Run 137 Recall-> 98.10%,Time-> 1.03 minutes
Run 138 Recall-> 98.14%,Time-> 1.05 minutes
Run 139 Recall-> 98.05%,Time-> 1.02 minutes
Run 140 Recall-> 97.85%,Time-> 1.02 minutes
Run 141 Recall-> 97.87%,Time-> 1.05 minutes
Run 142 Recall-> 98.26%,Time-> 1.05 minutes
Run 143 Recall-> 98.11%,Time-> 1.05 minutes
Run 144 Recall-> 98.12%,Time-> 1.00 minutes
Run 145 Recall-> 97.91%,Time-> 1.02 minutes
Run 146 Recall-> 97.94%,Time-> 1.03 minutes
Run 147 Recall-> 97.99%,Time-> 1.00 minutes
Run 148 Recall-> 98.03%,Time-> 1.03 minutes
Run 149 Recall-> 98.10%,Time-> 1.05 minutes
Run 150 Recall-> 97.84%,Time-> 1.03 minutes
Average Recall-> 98.02%,Average Time-> 1.04 minutes
